Clock frequency is approx. 2793.1 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	
64m	5162.9	4754.5	3955.5	3234.7	2814.7	2374.9	2050.3	1796.3	1597.4	1437.2	1308.5	1201.1	1105.4	1026.1	956.4	893.8	
32m	5166.1	4758.0	3975.9	3236.4	2824.0	2381.1	2054.6	1796.3	1599.3	1440.7	1308.8	1200.4	1110.7	1028.5	958.2	895.2	
16m	5163.8	4760.6	3984.1	3231.4	2842.1	2404.2	2082.8	1822.9	1612.9	1455.5	1322.8	1213.6	1119.7	1037.8	965.7	905.5	
8m	5340.0	5132.1	4713.2	3967.8	3465.7	2988.7	2659.7	2455.5	2239.2	2048.5	1884.5	1728.6	1606.2	1480.3	1394.3	1311.6	
4m	5554.6	5546.8	5431.1	4847.3	4152.3	3506.1	3267.8	3266.6	3131.1	2947.5	2748.9	2557.9	2387.0	2232.7	2095.7	1975.2	
2m	5580.0	5572.2	5463.9	4994.9	4230.1	3556.6	3337.4	3370.0	3213.4	3035.4	2835.2	2634.8	2449.9	2288.8	2142.6	2022.9	
1024k	5582.5	5577.9	5472.4	5021.0	4245.9	3574.6	3343.5	3386.3	3228.5	3044.4	2845.8	2643.8	2458.9	2294.2	2148.5	2032.9	
512k	5582.3	5576.4	5491.8	4973.4	4284.1	3599.8	3372.7	3424.3	3274.1	3092.8	2883.0	2674.7	2464.0	2304.4	2158.7	2031.2	
256k	5584.6	5575.4	5539.5	5166.9	4715.3	4382.7	4348.9	4183.9	4029.9	3864.2	3608.2	3357.7	3125.5	2942.8	2811.8	2767.5	
128k	5583.6	5580.8	5577.4	5321.3	5041.3	4944.6	4855.1	4591.0	4249.5	4001.9	3721.0	3418.5	3185.6	2987.8	2882.2	2886.2	
64k	5579.5	5575.4	5569.2	5313.9	4993.2	4988.0	4948.8	4654.5	4272.5	4100.2	3750.9	3567.2	3265.4	3052.0	2950.5	3023.5	
32k	5575.4	5564.6	5550.7	5543.0	5519.8	5526.6	5512.1	5500.4	5477.9	5472.7	5472.4	5477.9	5464.9	5428.5	5427.3	5396.6	
16k	5564.6	5543.0	5518.6	5500.4	5472.7	5446.6	5428.5	5417.0	5385.1	5369.9	5332.1	5324.9	5300.3	5305.2	5258.8	5257.7	
8k	5543.0	5500.4	5462.2	5417.0	5369.9	5324.9	5305.2	5296.6	5208.5	5199.1	5143.8	5120.8	5056.6	5043.2	5016.6	4965.6	
4k	5500.4	5417.0	5324.9	5257.7	5199.1	5066.3	5043.2	4965.6	4888.0	4760.0	4723.0	4668.9	4582.5	4531.1	4433.3	4469.0	
2k	5356.2	5257.7	5066.3	5035.5	4760.0	4668.9	4531.1	4469.0	4171.3	3957.0	3820.0	3829.3	3654.4	3641.1	3391.7	3437.7	
1k	5219.3	4965.6	4668.9	4469.0	3957.0	3829.3	3515.5	3437.7	3156.3	3237.5	3607.8	3297.5	3203.9	2548.7	3165.6	3437.7	
